PROMOTIONID,DOMAINNAMEID,EXPIREDATE
605295,1909,2022-02-14 23:59:59.000 Z
605129,4058,2022-02-22 23:59:59.000 Z
605308,1909,
606341,506232,
606340,506232,
606253,30482,2022-03-03 23:59:59.000 Z
606334,71184,
606336,302700,2022-03-05 23:59:59.000 Z
606314,4500,2022-03-31 23:59:59.000 Z
606342,376434,
606346,505880,
606347,505880,
606348,505880,
606349,505880,
606202,42344,2022-03-06 23:59:59.000 Z
606203,333763,2022-04-19 23:59:59.000 Z
606350,384530,2022-04-18 23:59:59.000 Z
606352,27664,2022-03-07 23:59:59.000 Z
606280,2625,2022-04-03 23:59:59.000 Z
605393,2497,2022-02-27 23:59:59.000 Z
606296,2687,2022-03-10 23:59:59.000 Z
606116,140209,2022-02-26 23:59:59.000 Z
605948,318942,
605935,375792,2022-02-27 23:59:59.000 Z
605097,333966,2022-02-28 23:59:59.000 Z
606333,1872,2022-03-26 23:59:59.000 Z
606364,375838,2022-03-10 23:59:59.000 Z
606074,343169,
606493,1872,
605161,4178,
605505,62800,2022-03-06 23:59:59.000 Z
606017,5797,
606020,489366,2022-02-28 23:59:59.000 Z
606496,132485,
606482,1909,
606495,132485,
606006,274038,
606494,132485,2022-03-13 23:59:59.000 Z
606041,2944,2022-03-10 23:59:59.000 Z
606223,375679,2022-12-31 23:59:59.000 Z
605820,54241,2022-03-01 23:59:59.000 Z
605987,1909,2022-02-27 23:59:59.000 Z
605884,1872,2022-02-26 23:59:59.000 Z
605659,3089,2022-02-22 23:59:59.000 Z
606018,13259,
606277,27664,2022-03-08 23:59:59.000 Z
606374,2431,2022-03-07 23:59:59.000 Z
605512,77741,
605641,77741,
606365,3513,2022-03-14 23:59:59.000 Z
606599,1909,2022-12-31 23:59:59.000 Z
605565,51598,2022-02-28 23:59:59.000 Z
606534,1805,2022-03-08 23:59:59.000 Z
606472,17409,
605961,375527,2022-12-31 23:59:59.000 Z
606283,3940,2022-03-13 23:59:59.000 Z
606308,2978,2022-03-11 23:59:59.000 Z
606285,28808,
606284,37431,
606287,3687,2022-03-07 23:59:59.000 Z
606370,2494,2022-05-31 23:59:59.000 Z
606288,2431,2022-03-03 23:59:59.000 Z
606561,140209,2022-03-13 23:59:59.000 Z
606465,140266,2022-03-06 23:59:59.000 Z
606506,30482,
606504,30482,
606508,3063,
605955,288325,2022-02-27 23:59:59.000 Z
606380,61427,2022-03-02 23:59:59.000 Z
606166,375764,2022-12-31 23:59:59.000 Z
606518,1909,
606514,1909,
606233,376773,2022-02-28 23:59:59.000 Z
606507,1909,
606244,1872,2022-03-26 23:59:59.000 Z
606455,336593,2022-04-03 23:59:59.000 Z
606510,1909,
606459,9176,2022-03-16 23:59:59.000 Z
606520,1909,
605952,1779,2022-03-06 23:59:59.000 Z
606488,287332,2022-03-06 23:59:59.000 Z
606523,442355,2022-03-31 23:59:59.000 Z
606206,2001,2022-03-05 23:59:59.000 Z
606522,1909,2022-03-06 23:59:59.000 Z
606242,463888,2022-03-03 23:59:59.000 Z
606439,3568,2022-03-02 23:59:59.000 Z
606294,201596,2022-03-31 23:59:59.000 Z
606319,1805,2022-03-03 23:59:59.000 Z
606240,114564,2022-03-03 23:59:59.000 Z
606241,1872,2022-03-26 23:59:59.000 Z
605599,452722,2022-02-28 23:59:59.000 Z
606303,97327,2022-06-01 23:59:59.000 Z
